danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.76,0.371,6.0,-8.964,1.0,0.0531,0.00772,0.0,0.0785,0.653,138.023
0.682,0.645,11.0,-8.808,1.0,0.152,0.328,0.0,0.276,0.665,142.966
0.772,0.75,5.0,-3.67,0.0,0.0455,0.0201,0.0,0.074,0.587,114.061
0.464,0.417,0.0,-9.345,0.0,0.0256,0.136,0.022,0.0974,0.479,67.528
0.715,0.57,2.0,-7.266,0.0,0.0382,0.0989,1.59e-06,0.165,0.47,105.018
0.911,0.573,6.0,-7.43,1.0,0.288,0.38,0.0,0.403,0.972,140.04
0.714,0.728,10.0,-4.595,1.0,0.0468,0.298,0.0,0.106,0.901,114.996
0.86,0.692,0.0,-5.608,1.0,0.052,0.0656,0.0468,0.262,0.679,99.996
0.839,0.454,2.0,-8.698,1.0,0.0718,0.223,0.0,0.0795,0.584,110.018
0.629,0.547,10.0,-13.123,0.0,0.055,0.72,0.00314,0.0604,0.197,108.375
0.733,0.67,5.0,-6.009,1.0,0.0751,0.121,0.0,0.121,0.472,100.964
0.756,0.426,6.0,-11.267,0.0,0.037,0.368,5.75e-06,0.0918,0.716,87.959
0.759,0.639,6.0,-6.15,1.0,0.0429,0.107,0.0,0.218,0.524,109.972
0.768,0.714,10.0,-5.11,1.0,0.0401,0.352,0.0,0.15,0.842,131.443
0.834,0.828,11.0,-2.657,0.0,0.0452,0.21,5.91e-06,0.103,0.58,102.019
0.583,0.556,5.0,-7.961,0.0,0.0682,0.205,0.0,0.136,0.463,92.943
0.787,0.87,5.0,-4.367,0.0,0.0756,0.149,0.0,0.107,0.755,96.986
0.52,0.852,0.0,-5.866,1.0,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
0.865,0.573,5.0,-5.501,1.0,0.0678,0.0863,0.0,0.305,0.563,94.999
0.727,0.721,4.0,-4.158,1.0,0.0577,0.00317,0.0,0.18,0.771,115.991
0.64,0.734,10.0,-6.319,1.0,0.0338,0.0223,1.32e-05,0.158,0.39,109.998
0.795,0.8,1.0,-6.32,1.0,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
0.759,0.561,0.0,-5.643,0.0,0.131,0.803,0.121,0.101,0.491,104.915
0.861,0.576,8.0,-8.652,1.0,0.0704,0.105,0.000821,0.0726,0.843,131.979
0.683,0.648,8.0,-6.196,1.0,0.117,0.398,0.0,0.106,0.315,128.014
0.836,0.743,10.0,-6.305,0.0,0.0653,0.0974,0.0,0.335,0.723,108.965
0.467,0.9,11.0,-4.505,1.0,0.0451,0.000187,0.000493,0.105,0.554,130.027
0.493,0.411,0.0,-7.333,1.0,0.0489,0.502,0.0,0.112,0.296,139.737
0.618,0.859,7.0,-3.468,1.0,0.0669,0.0553,0.0,0.0635,0.455,123.06
0.795,0.684,11.0,-3.971,0.0,0.0419,0.0225,0.0,0.658,0.419,114.011
0.697,0.336,9.0,-10.395,1.0,0.0424,0.598,0.00528,0.107,0.31,82.029
0.46,0.762,8.0,-3.274,0.0,0.061,0.0171,0.000134,0.141,0.575,179.849
0.478,0.186,0.0,-9.836,0.0,0.0304,0.919,0.0,0.181,0.297,69.51
0.511,0.594,1.0,-4.799,0.0,0.0316,0.651,0.177,0.249,0.143,94.473
0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
0.677,0.482,7.0,-9.875,0.0,0.0535,0.202,0.000188,0.104,0.312,112.018
0.833,0.507,7.0,-6.95,1.0,0.0413,0.191,0.0,0.0854,0.483,111.031
0.814,0.631,9.0,-9.822,0.0,0.0971,0.068,0.000122,0.0792,0.264,133.971
0.722,0.415,11.0,-9.105,0.0,0.132,0.231,0.0,0.238,0.661,144.774
0.556,0.674,2.0,-5.518,1.0,0.363,0.207,0.0,0.296,0.447,208.066
0.496,0.553,6.0,-7.508,0.0,0.0958,0.213,0.00047,0.182,0.307,107.312
0.848,0.675,9.0,-8.509,0.0,0.104,0.105,1.85e-06,0.0833,0.505,139.988
0.759,0.706,11.0,-8.476,0.0,0.185,0.0717,0.0,0.216,0.948,167.139
0.938,0.781,9.0,-5.665,1.0,0.203,0.159,0.0,0.0943,0.753,131.059
0.876,0.698,5.0,-9.543,1.0,0.0537,0.155,1.91e-05,0.181,0.85,130.033
0.834,0.713,3.0,-5.23,0.0,0.25,0.203,0.0,0.075,0.862,134.003
0.82,0.727,7.0,-5.57,0.0,0.267,0.185,0.0,0.325,0.741,96.085
0.743,0.591,10.0,-5.858,0.0,0.0385,0.22,0.0,0.0924,0.423,102.863
0.299,0.234,11.0,-13.009,1.0,0.0321,0.828,0.000101,0.0959,0.333,186.369
0.796,0.532,10.0,-7.15,1.0,0.137,0.402,0.0,0.334,0.817,136.038
0.597,0.772,5.0,-8.032,0.0,0.0777,0.0562,0.00397,0.395,0.532,164.036
0.4,0.641,8.0,-6.303,1.0,0.0674,0.214,0.0,0.0656,0.393,81.552
0.714,0.732,0.0,-5.357,0.0,0.174,0.662,0.0,0.105,0.72,179.951
0.769,0.555,0.0,-6.63,0.0,0.149,0.201,0.00267,0.125,0.472,121.986
0.854,0.626,0.0,-9.012,1.0,0.0533,0.424,0.0,0.223,0.659,101.009
0.743,0.0349,0.0,-17.89,1.0,0.0504,0.972,2.24e-06,0.108,0.451,99.969
0.854,0.679,1.0,-4.135,0.0,0.0339,0.00455,0.0,0.0864,0.946,125.975
0.725,0.751,2.0,-8.683,1.0,0.347,0.0883,0.0,0.273,0.753,142.018
0.741,0.74,0.0,-5.514,1.0,0.0291,0.15,1.14e-05,0.17,0.878,124.987
0.755,0.731,7.0,-5.891,1.0,0.256,0.548,0.0,0.235,0.876,110.369
0.937,0.707,10.0,-5.153,0.0,0.146,0.18,0.000376,0.186,0.766,100.031
0.574,0.852,2.0,-1.248,1.0,0.0397,0.0529,0.0,0.161,0.501,123.038
0.739,0.586,10.0,-5.079,0.0,0.0472,0.0245,0.000252,0.308,0.444,124.026
0.911,0.6,0.0,-9.232,1.0,0.0945,0.0395,0.0557,0.178,0.436,120.026
0.554,0.38,9.0,-10.666,1.0,0.0314,0.526,0.0,0.213,0.284,118.925
0.559,0.723,8.0,-6.56,0.0,0.292,0.195,0.0,0.249,0.39,123.979
0.727,0.572,1.0,-5.821,1.0,0.307,0.775,0.0,0.102,0.885,151.197
0.708,0.59,7.0,-12.75,0.0,0.185,0.489,0.0268,0.572,0.42,103.824
0.362,0.54,10.0,-6.031,1.0,0.0528,0.338,0.0,0.139,0.3,78.007
0.712,0.588,0.0,-10.303,1.0,0.321,0.271,0.0,0.083,0.472,97.063
0.702,0.632,10.0,-7.704,0.0,0.35,0.713,0.000292,0.21,0.561,159.768
0.649,0.655,10.0,-5.534,0.0,0.0652,0.307,0.0,0.22,0.793,92.9
0.659,0.772,0.0,-4.595,1.0,0.11,0.0748,0.000346,0.187,0.484,126.018
0.528,0.842,5.0,-5.518,0.0,0.295,0.0253,5.66e-06,0.0727,0.664,154.036
0.865,0.521,0.0,-6.932,1.0,0.0371,0.548,0.000115,0.0989,0.748,129.059
0.78,0.59,7.0,-6.541,1.0,0.0391,0.0107,6.33e-06,0.108,0.62,120.027
0.781,0.526,6.0,-6.985,0.0,0.293,0.0619,0.0,0.0457,0.662,94.992
0.604,0.787,0.0,-3.674,0.0,0.103,0.0679,0.15,0.127,0.301,126.062
0.378,0.638,10.0,-5.576,1.0,0.075,0.02,7.66e-05,0.0849,0.735,184.086
0.612,0.84,11.0,-3.145,0.0,0.0509,0.112,0.0,0.116,0.438,129.042
0.734,0.766,1.0,-4.485,1.0,0.0383,0.025,0.00138,0.108,0.6,127.986
0.553,0.674,11.0,-6.057,0.0,0.045,0.00117,0.0,0.16,0.369,91.958
0.754,0.933,0.0,-5.786,1.0,0.0448,0.0199,0.0,0.297,0.75,103.992
0.746,0.922,10.0,-5.014,1.0,0.236,0.246,0.0,0.515,0.638,86.961
0.729,0.777,8.0,-5.112,1.0,0.0293,0.13,0.0,0.0541,0.527,104.946
0.453,0.789,9.0,-3.489,1.0,0.0599,0.103,8.48e-05,0.22,0.233,136.117
0.727,0.938,11.0,-2.872,0.0,0.288,0.00432,0.0,0.0911,0.757,132.077
0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786
0.743,0.752,4.0,-4.813,1.0,0.0414,0.0188,0.0,0.287,0.545,110.015
0.608,0.86,5.0,-5.324,0.0,0.0554,0.0991,0.0,0.262,0.437,127.075
0.79,0.616,0.0,-7.443,1.0,0.0596,0.0589,6.55e-05,0.171,0.473,130.009
0.672,0.738,0.0,-7.045,1.0,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938
0.759,0.849,1.0,-3.198,0.0,0.0317,0.000983,1.51e-05,0.0864,0.73,122.033
0.752,0.727,5.0,-4.161,0.0,0.16,0.0246,0.0,0.272,0.361,130.015
0.624,0.837,1.0,-6.533,0.0,0.0356,0.0368,0.851,0.311,0.376,126.021
0.562,0.783,11.0,-4.727,0.0,0.0428,0.135,1.44e-05,0.282,0.391,132.06
0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994
0.685,0.474,0.0,-9.105,1.0,0.0313,0.779,1.23e-06,0.149,0.36,79.991
0.718,0.82,5.0,-3.453,0.0,0.0323,0.0444,0.0,0.0846,0.613,92.998
0.717,0.69,9.0,-6.894,1.0,0.0563,0.0115,0.0,0.344,0.605,128.016
0.707,0.861,7.0,-4.225,1.0,0.316,0.1,0.0,0.191,0.795,130.021
0.716,0.972,7.0,-2.302,1.0,0.196,0.0145,3.22e-05,0.317,0.576,110.026
0.768,0.738,11.0,-3.017,0.0,0.0406,0.0524,3.01e-05,0.0561,0.685,125.928
0.815,0.633,11.0,-4.99,0.0,0.0486,0.0744,0.000287,0.148,0.853,130.016
0.457,0.757,1.0,-5.177,1.0,0.032,0.0206,0.0,0.146,0.417,102.961
0.706,0.89,1.0,-4.444,0.0,0.0688,0.0588,0.00286,0.306,0.684,128.011
0.759,0.838,8.0,-6.08,0.0,0.0768,0.015,1.86e-06,0.377,0.915,123.107
0.821,0.676,3.0,-6.366,0.0,0.0547,0.187,0.0001,0.0927,0.559,119.012
0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021
0.789,0.858,1.0,-5.542,1.0,0.311,0.127,0.0,0.349,0.775,140.022
0.573,0.929,8.0,-3.942,0.0,0.109,0.197,0.000112,0.0567,0.582,127.934
0.671,0.939,8.0,-3.206,1.0,0.161,0.191,0.0,0.298,0.53,129.024
0.704,0.558,2.0,-7.273,0.0,0.0542,0.148,0.0,0.107,0.245,110.444
0.825,0.435,1.0,-9.582,1.0,0.0568,0.452,0.609,0.0953,0.243,119.038
0.626,0.286,9.0,-9.933,1.0,0.0374,0.678,0.0,0.134,0.366,84.954
0.492,0.857,7.0,-2.634,1.0,0.0655,0.0841,7.82e-06,0.344,0.393,129.973
0.715,0.655,0.0,-6.425,1.0,0.137,0.0525,0.0,0.115,0.531,95.078
0.641,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078
0.743,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.96
0.766,0.873,11.0,-6.381,0.0,0.143,0.00627,0.0,0.0764,0.743,126.988
0.484,0.523,7.0,-8.372,1.0,0.0659,0.383,0.0,0.0855,0.238,74.514
0.726,0.787,4.0,-2.494,1.0,0.0737,0.009,0.0,0.0596,0.888,124.99
0.507,0.729,11.0,-5.399,0.0,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013
0.666,0.876,3.0,-3.078,1.0,0.0414,0.055,0.0,0.259,0.552,129.884
0.647,0.582,10.0,-9.538,0.0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396
0.579,0.508,2.0,-9.484,1.0,0.027,0.00574,0.000494,0.0575,0.609,147.125
0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0153,0.036,0.847,117.046
0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105
0.443,0.403,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.462
0.723,0.863,2.0,-7.89,1.0,0.0338,0.0383,0.0317,0.128,0.931,136.302
0.671,0.373,9.0,-18.064,1.0,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
0.377,0.681,7.0,-8.039,1.0,0.0298,0.00088,0.0023,0.0504,0.285,108.789
0.703,0.826,10.0,-7.179,0.0,0.0341,0.0322,0.00629,0.179,0.945,103.564
0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
0.82,0.452,1.0,-9.796,1.0,0.0348,0.543,0.00294,0.0714,0.74,117.401
0.65,0.306,9.0,-9.443,1.0,0.0393,0.57,7.07e-06,0.0707,0.605,118.068
0.511,0.574,5.0,-7.016,1.0,0.0273,0.0425,2.33e-05,0.105,0.161,119.917
0.438,0.805,5.0,-5.62,0.0,0.0366,0.00161,4.31e-05,0.238,0.541,138.664
0.5,0.748,4.0,-9.072,1.0,0.0363,0.127,0.0,0.447,0.514,118.852
0.547,0.257,0.0,-12.358,1.0,0.0252,0.907,0.183,0.0935,0.169,75.752
0.768,0.852,4.0,-6.215,1.0,0.038,0.214,7.36e-05,0.0723,0.867,128.373
0.776,0.867,3.0,-3.704,0.0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827
0.412,0.902,9.0,-11.6,1.0,0.405,0.0484,0.131,0.405,0.422,89.74
0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412
0.559,0.345,4.0,-13.496,1.0,0.0459,0.0576,0.000105,0.141,0.458,84.581
0.647,0.514,8.0,-10.05,1.0,0.0593,0.0655,0.0,0.398,0.387,79.974
0.454,0.91,6.0,-7.766,1.0,0.0448,0.0866,0.0996,0.116,0.629,125.116
0.332,0.214,4.0,-12.518,1.0,0.0349,0.845,5.62e-06,0.0839,0.11,67.531
0.776,0.676,9.0,-8.152,1.0,0.0826,0.0941,0.0,0.12,0.78,98.002
0.711,0.292,4.0,-15.523,0.0,0.037,0.313,0.0,0.131,0.194,103.951
0.691,0.507,11.0,-10.23,1.0,0.0343,0.627,0.0,0.457,0.885,128.518
0.367,0.452,10.0,-10.422,1.0,0.0307,0.0353,0.00228,0.689,0.189,113.066
0.691,0.707,1.0,-6.179,0.0,0.0534,0.039,0.00155,0.154,0.372,90.088
0.386,0.607,10.0,-7.7,1.0,0.0261,0.0112,1.38e-05,0.088,0.532,147.207
0.529,0.127,11.0,-16.066,1.0,0.0274,0.611,0.000109,0.237,0.578,63.05
0.663,0.6,7.0,-10.87,1.0,0.032,0.43,0.0,0.184,0.8,129.991
0.666,0.855,9.0,-5.051,0.0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
0.805,0.558,0.0,-5.226,1.0,0.041,0.164,2.2e-05,0.0546,0.965,114.95
0.703,0.59,1.0,-5.604,1.0,0.0357,0.00154,0.227,0.104,0.771,117.946
0.557,0.54,9.0,-10.484,1.0,0.0347,0.0339,0.00248,0.179,0.394,129.171
0.71,0.799,6.0,-4.897,1.0,0.0328,0.22,0.000602,0.349,0.725,120.372
0.694,0.831,9.0,-7.288,1.0,0.0301,0.165,0.000892,0.25,0.98,125.901
0.338,0.34,9.0,-12.049,0.0,0.0339,0.58,0.0032,0.116,0.197,82.433
0.478,0.544,4.0,-4.482,1.0,0.0287,0.478,0.0,0.222,0.276,154.94
0.733,0.794,5.0,-10.023,1.0,0.0307,0.0614,0.0367,0.33,0.931,148.174
0.817,0.599,0.0,-9.249,0.0,0.0328,0.132,0.000311,0.0873,0.548,108.873
0.771,0.655,3.0,-10.842,0.0,0.0372,0.152,0.00197,0.0685,0.97,119.747
0.667,0.278,5.0,-10.23,1.0,0.0298,0.641,0.000134,0.0999,0.128,108.069
0.446,0.239,0.0,-13.945,1.0,0.0316,0.551,4.1e-06,0.0697,0.298,189.507
0.633,0.634,8.0,-12.115,1.0,0.0725,0.038,0.0064,0.0385,0.872,100.499
0.862,0.479,7.0,-9.199,1.0,0.0645,0.0523,0.00126,0.589,0.924,109.877
0.532,0.887,0.0,-3.757,1.0,0.0335,0.0778,0.000214,0.294,0.795,122.511
0.878,0.821,11.0,-9.875,1.0,0.089,0.126,0.0461,0.183,0.947,118.881
0.596,0.945,6.0,-3.658,1.0,0.0826,0.00913,0.00493,0.0899,0.464,105.032
0.574,0.913,6.0,-4.793,0.0,0.133,0.061,0.00158,0.156,0.423,115.728
0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131
0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726
0.249,0.66,0.0,-6.905,1.0,0.0342,0.504,0.0026,0.0891,0.435,149.813
0.439,0.817,9.0,-4.89,1.0,0.0379,0.0041,0.842,0.315,0.64,185.982
0.477,0.471,6.0,-10.036,1.0,0.0277,0.193,1.76e-06,0.131,0.423,81.204
0.801,0.623,9.0,-13.445,0.0,0.0508,0.0173,0.00811,0.323,0.641,116.426
0.527,0.415,4.0,-11.451,0.0,0.122,0.457,1.72e-05,0.117,0.515,78.169
0.574,0.628,2.0,-8.815,0.0,0.036,0.13,0.0,0.271,0.803,153.119
0.464,0.795,1.0,-9.267,1.0,0.0926,0.0493,0.00244,0.399,0.612,158.691
0.756,0.401,7.0,-10.702,0.0,0.0526,0.582,0.011,0.0541,0.514,101.954
0.149,0.206,3.0,-13.888,1.0,0.0323,0.822,0.000649,0.115,0.264,79.764
0.522,0.707,5.0,-7.113,0.0,0.0354,0.24,2.04e-05,0.156,0.572,76.05
0.765,0.29,4.0,-17.117,0.0,0.139,0.0279,0.0,0.571,0.506,92.409
0.534,0.803,10.0,-9.129,1.0,0.0743,0.741,6.07e-05,0.307,0.969,167.983
0.566,0.685,1.0,-9.123,0.0,0.0405,0.369,2.76e-06,0.644,0.636,119.967
0.741,0.697,0.0,-7.028,1.0,0.0277,0.0664,2.28e-05,0.133,0.774,116.109
0.769,0.367,2.0,-11.226,1.0,0.0312,0.684,1.62e-05,0.081,0.535,103.621
0.408,0.843,2.0,-5.612,1.0,0.0369,0.00221,0.0,0.134,0.468,174.452
0.743,0.836,2.0,-6.465,1.0,0.116,0.0804,0.0,0.384,0.82,113.375
0.582,0.814,11.0,-6.707,0.0,0.078,0.00537,2.59e-06,0.575,0.479,131.986
0.399,0.258,5.0,-16.028,1.0,0.033,0.792,1.86e-06,0.128,0.192,108.174
0.583,0.947,5.0,-5.12,1.0,0.0378,0.0185,0.00109,0.0679,0.803,135.448
0.406,0.698,8.0,-7.024,1.0,0.0624,0.186,0.0,0.233,0.333,109.266
0.444,0.792,4.0,-2.961,0.0,0.0313,0.108,0.000242,0.104,0.241,200.133
0.645,0.598,1.0,-13.18,0.0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929
0.572,0.418,0.0,-10.738,1.0,0.0349,0.635,0.0,0.0961,0.694,104.566
0.334,0.472,0.0,-8.791,1.0,0.0277,0.6,3.62e-06,0.317,0.431,179.173
0.693,0.353,0.0,-17.852,1.0,0.0414,0.0704,0.00113,0.503,0.75,104.143
0.596,0.605,7.0,-12.145,1.0,0.0255,0.181,0.000331,0.0863,0.886,97.798
0.588,0.768,8.0,-6.749,0.0,0.249,0.587,0.0,0.667,0.961,173.107
0.736,0.871,2.0,-2.786,1.0,0.0278,0.466,0.0,0.108,0.967,122.395
0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548
0.729,0.844,5.0,-8.824,1.0,0.0344,0.149,2.87e-06,0.0604,0.777,131.459
0.74,0.392,9.0,-11.996,1.0,0.0824,0.483,1.11e-06,0.0965,0.387,82.742
0.469,0.538,8.0,-13.559,1.0,0.0571,0.305,0.00012,0.37,0.886,196.605
0.761,0.763,6.0,-8.681,0.0,0.0655,0.225,0.000129,0.0949,0.556,110.013
0.398,0.952,4.0,-6.042,1.0,0.061,0.000373,7.75e-05,0.1,0.584,122.093
0.491,0.583,7.0,-10.964,1.0,0.0376,0.185,0.0,0.406,0.908,150.566
0.668,0.26,7.0,-14.256,1.0,0.0523,0.453,0.0,0.0621,0.368,119.416
0.823,0.743,0.0,-13.98,1.0,0.0316,0.00559,0.0306,0.0707,0.966,120.471
0.534,0.462,4.0,-8.172,1.0,0.0266,0.839,0.0,0.129,0.534,96.195
0.619,0.603,9.0,-9.481,1.0,0.0342,0.712,0.0,0.0721,0.958,127.433
0.438,0.805,8.0,-6.237,1.0,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253
0.584,0.533,10.0,-7.11,0.0,0.0305,0.684,0.0,0.306,0.224,131.745
0.601,0.532,10.0,-9.119,1.0,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
0.316,0.484,9.0,-9.11,0.0,0.0308,0.000334,0.00445,0.0912,0.299,117.363
0.79,0.41,0.0,-13.241,1.0,0.0343,0.263,0.00314,0.174,0.815,112.345
0.645,0.795,7.0,-12.095,1.0,0.0527,0.347,0.00389,0.104,0.535,112.067
0.811,0.859,9.0,-6.317,1.0,0.168,0.205,3.73e-06,0.0761,0.784,90.686
0.666,0.788,2.0,-7.02,1.0,0.0276,0.0884,0.0628,0.298,0.675,111.257
0.43,0.64,5.0,-4.577,0.0,0.0268,0.00939,5.98e-06,0.355,0.641,91.951
0.727,0.588,1.0,-9.568,1.0,0.0253,0.058,5.46e-06,0.0414,0.964,104.413
0.433,0.478,5.0,-9.401,1.0,0.0336,0.759,0.0,0.162,0.751,121.946
0.502,0.759,2.0,-5.721,1.0,0.0411,0.073,7.98e-06,0.263,0.195,132.013
0.64,0.663,0.0,-7.516,1.0,0.0374,0.201,0.00806,0.152,0.663,132.77
0.555,0.723,11.0,-7.207,0.0,0.0292,0.00817,0.000401,0.159,0.646,159.967
0.413,0.725,3.0,-5.787,0.0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618
0.482,0.721,0.0,-6.839,1.0,0.0321,0.731,0.0,0.189,0.557,95.263
0.533,0.376,9.0,-11.913,0.0,0.0393,0.0302,0.248,0.0926,0.187,165.007
0.516,0.809,0.0,-6.419,1.0,0.0545,0.787,0.000331,0.303,0.939,75.099
